,model,exp_type,prompt,pred,true,response
0,gpt_neo_1.3b,volition_1_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""I talked with Mark at SW Gas - just honro his numbers""
Question: In the event ""talked"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""They have unbeatable price in town and deliver on time .""
Question: In the event ""have"", does the participant ""price"" act with volition?
Answer: No
Sentence: ""The crop dusters were to be part of a "" second wave . """"
Question: In the event ""were"", does the participant ""dusters"" act with volition?
Answer: No
Sentence: """" ... there is no companion quite so devoted , so communicative , so loving and so mesmerizing as a rat . """"
Question: In the event ""is"", does the participant ""companion"" act with volition?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""I talked with Mark at SW Gas - just honro his numbers""
Question: In the event ""talked"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""They have unbeatable price in town and deliver on time.""
Question: In the event ""have"", does the participant ""price"" act with volition?
Answer: No
Sentence: ""The crop dusters were to be part of a "" second wave. """"
Question: In the event ""were"", does the participant ""dusters"" act with volition?
Answer: No
Sentence: """"... there is no companion quite so devoted, so communicative, so loving and so mesmerizing as a rat. """"
Question: In the event ""is"", does the participant ""companion"" act with volition?
Answer:  No
Sentence: ""The rat is a very good friend of mine. """"
Question: In the event ""is"", does the participant ""friend"" act with volition?
Answer: Yes
Sentence: ""The rat is a very good friend of mine. """"
Question: In the event ""is"", does the participant ""friend"" act with volition?
Answer: Yes
Sentence: ""The rat is a very good friend of mine. """"
Question: In the event ""is"", does the participant ""friend"" act with volition?
Answer: Yes
Sentence: ""The rat is a very good friend of mine. """"
Question: In the event ""is"", does the participant ""friend"" act with volition?
Answer: Yes
Sentence: ""The rat is a very good friend of mine. """"
Question: In the event ""is"", does the participant ""friend"" act with volition?
Answer: Yes
Sentence:"
1,gpt_neo_1.3b,volition_1_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""India 's Andaman and Nicobar Islands comprise more than 500 islands lying 1,000 kilometers east of Sri Lanka in the Bay of Bengal .""
Question: In the event ""comprise"", does the participant ""Islands"" act with volition?
Answer: No
Sentence: """" He left a message for everyone to see ... maybe to God himself . """"
Question: In the event ""left"", does the participant ""He"" act with volition?
Answer: Yes
Sentence: ""i want a small indoor pet that my mother will let me have please help""
Question: In the event ""let"", does the participant ""mother"" act with volition?
Answer: Yes
Sentence: ""He showed me the car I was interested in and we took a test drive .""
Question: In the event ""showed"", does the participant ""car"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""India's Andaman and Nicobar Islands comprise more than 500 islands lying 1,000 kilometers east of Sri Lanka in the Bay of Bengal.""
Question: In the event ""comprise"", does the participant ""Islands"" act with volition?
Answer: No
Sentence: """" He left a message for everyone to see... maybe to God himself. """"
Question: In the event ""left"", does the participant ""He"" act with volition?
Answer: Yes
Sentence: ""i want a small indoor pet that my mother will let me have please help""
Question: In the event ""let"", does the participant ""mother"" act with volition?
Answer: Yes
Sentence: ""He showed me the car I was interested in and we took a test drive.""
Question: In the event ""showed"", does the participant ""car"" act with volition?
Answer: 

A:

The answer is yes.
The word ""act"" is used to describe the action of a person or thing.

He showed me the car I was interested in and we took a test drive.

The car is the object.

He showed me the car I was interested in and we took a test drive.

The car is the subject.

He showed me the car I was interested in and we took a test drive.

The car is the verb.

He showed me the car I was interested in and we took a test drive.

The car is the verb.

He showed me the car I was interested in and we took a test drive.

The car is the verb.

He showed me the car I was interested in and we took a test drive.

The car is the verb.

He showed me the car I was"
2,gpt_neo_1.3b,volition_1_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""Cover letters and resumes need to be perfect .""
Question: In the event ""need"", does the participant ""letters"" act with volition?
Answer: No
Sentence: ""Kori told me she saw you last night at Steak Night and introduced herself since I failed to do so the last time we went .""
Question: In the event ""introduced"", does the participant ""herself"" act with volition?
Answer: Yes
Sentence: ""I love them .""
Question: In the event ""love"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""I knew a cat that died in its sleep aged 21 .""
Question: In the event ""knew"", does the participant ""cat"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""Cover letters and resumes need to be perfect.""
Question: In the event ""need"", does the participant ""letters"" act with volition?
Answer: No
Sentence: ""Kori told me she saw you last night at Steak Night and introduced herself since I failed to do so the last time we went.""
Question: In the event ""introduced"", does the participant ""herself"" act with volition?
Answer: Yes
Sentence: ""I love them.""
Question: In the event ""love"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""I knew a cat that died in its sleep aged 21.""
Question: In the event ""knew"", does the participant ""cat"" act with volition?
Answer: 

A:

I think the answer is yes.
The sentence is a question, and the answer is yes.
The sentence is asking about the action of the verb ""to act"".
The verb ""to act"" is a verb that takes an object.
The object is the person or thing that is doing the action.
The verb ""to act"" is a verb that takes an action.
The action is the thing that is doing the action.
The verb ""to act"" is a verb that takes an action.
The action is the thing that is doing the action.
The verb ""to act"" is a verb that takes an action.
The action is the thing that is doing the action.
The verb ""to act"" is a verb that takes an action.
The action is the thing that is doing the action.
The verb ""to act"" is a verb that takes an action.
The action is the thing that is doing the action.
The verb ""to act"" is a verb that takes"
3,gpt_neo_1.3b,volition_1_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""The Greater New Orleans Fair Housing Action Center ( GNOFHAC ) filed a housing discrimination complaint against the Housing Authority of New Orleans ( HANO ) last week .""
Question: In the event ""filed"", does the participant ""Center"" act with volition?
Answer: Yes
Sentence: ""They have a customer for life in us !""
Question: In the event ""have"", does the participant ""customer"" act with volition?
Answer: Yes
Sentence: ""I love the location and the apartment !!""
Question: In the event ""love"", does the participant ""location"" act with volition?
Answer: No
Sentence: ""i handle him every few days .""
Question: In the event ""handle"", does the participant ""i"" act with volition?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""The Greater New Orleans Fair Housing Action Center ( GNOFHAC ) filed a housing discrimination complaint against the Housing Authority of New Orleans ( HANO ) last week.""
Question: In the event ""filed"", does the participant ""Center"" act with volition?
Answer: Yes
Sentence: ""They have a customer for life in us!""
Question: In the event ""have"", does the participant ""customer"" act with volition?
Answer: Yes
Sentence: ""I love the location and the apartment!!""
Question: In the event ""love"", does the participant ""location"" act with volition?
Answer: No
Sentence: ""i handle him every few days.""
Question: In the event ""handle"", does the participant ""i"" act with volition?
Answer:  No
Sentence: ""I'm not sure if I'm going to be able to get a job in the city.""
Question: In the event ""be"", does the participant ""job"" act with volition?
Answer: Yes
Sentence: ""I'm not sure if I'm going to be able to get a job in the city.""
Question: In the event ""be"", does the participant ""job"" act with volition?
Answer: No
Sentence: ""I'm not sure if I'm going to be able to get a job in the city.""
Question: In the event ""be"", does the participant ""job"" act with volition?
Answer: Yes
Sentence: ""I'm not sure if I'm going to be able to get a job in the city.""
Question: In the event ""be"", does the participant ""job"" act with volition?
Answer: No
Sentence: ""I'm not sure if I'm going to be able to get"
4,gpt_neo_1.3b,volition_1_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""At least one expert believes China 's intentions might include a surprise attempt to circle the moon with astronauts before NASA 's planned lunar return .""
Question: In the event ""include"", does the participant ""intentions"" act with volition?
Answer: Yes
Sentence: ""We intend to see as many people as possible regarding EOL implementation .""
Question: In the event ""intend"", does the participant ""We"" act with volition?
Answer: Yes
Sentence: ""By comparison , outdoor cats have a life expectancy of 3 - 7 years depending on how many predators are in the local environment .""
Question: In the event ""have"", does the participant ""cats"" act with volition?
Answer: No
Sentence: ""The information contained herein is based on sources that we believe to be reliable , but we do not represent that it is accurate or complete .""
Question: In the event ""based"", does the participant ""information"" act with volition?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""At least one expert believes China's intentions might include a surprise attempt to circle the moon with astronauts before NASA's planned lunar return.""
Question: In the event ""include"", does the participant ""intentions"" act with volition?
Answer: Yes
Sentence: ""We intend to see as many people as possible regarding EOL implementation.""
Question: In the event ""intend"", does the participant ""We"" act with volition?
Answer: Yes
Sentence: ""By comparison, outdoor cats have a life expectancy of 3 - 7 years depending on how many predators are in the local environment.""
Question: In the event ""have"", does the participant ""cats"" act with volition?
Answer: No
Sentence: ""The information contained herein is based on sources that we believe to be reliable, but we do not represent that it is accurate or complete.""
Question: In the event ""based"", does the participant ""information"" act with volition?
Answer: 

A:

The question is a bit ambiguous. 

In the event ""include"", does the participant ""intentions"" act with volition?

The question is asking about the ""intentions"" of the participants. 

In the event ""intend"", does the participant ""We"" act with volition?

The question is asking about the ""We"" of the participants. 

In the event ""have"", does the participant ""cats"" act with volition?

The question is asking about the ""cats"" of the participants. 

In the event ""based"", does the participant ""information"" act with volition?

The question is asking about the ""information"" of the participants. 

In the event ""based"", does the participant ""information"" act with volition?

The"
5,gpt_neo_1.3b,volition_1_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""I thought I would have to wait until I went home to NYC .""
Question: In the event ""thought"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""he crawls on top of them but does not try to eat them .""
Question: In the event ""crawls"", does the participant ""he"" act with volition?
Answer: Yes
Sentence: ""The dealer wanted $ 1300 to fix that and another $ 1500 to fix some other things .""
Question: In the event ""wanted"", does the participant ""$"" act with volition?
Answer: No
Sentence: ""I wanted you all to have a look at what we believe is the final draft .""
Question: In the event ""believe"", does the participant ""we"" act with volition?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I thought I would have to wait until I went home to NYC.""
Question: In the event ""thought"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""he crawls on top of them but does not try to eat them.""
Question: In the event ""crawls"", does the participant ""he"" act with volition?
Answer: Yes
Sentence: ""The dealer wanted $ 1300 to fix that and another $ 1500 to fix some other things.""
Question: In the event ""wanted"", does the participant ""$"" act with volition?
Answer: No
Sentence: ""I wanted you all to have a look at what we believe is the final draft.""
Question: In the event ""believe"", does the participant ""we"" act with volition?
Answer: 

A:

I think the answer is yes.
The sentence is a question, and the answer is yes.
The verb ""to act"" is a transitive verb, meaning that the subject is the agent, and the verb is the action.
The subject is the person who is the agent, and the verb is the action.
The subject is the person who is the agent, and the verb is the action.
The subject is the person who is the agent, and the verb is the action.
The subject is the person who is the agent, and the verb is the action.
The subject is the person who is the agent, and the verb is the action.
The subject is the person who is the agent, and the verb is the action.
The subject is the person who is the agent, and the verb is the action.
The subject is the person who is the agent, and the verb is the action.
The subject is the person who is"
6,gpt_neo_1.3b,volition_1_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: """" All you have to do is look at the photographs , "" Ed Bangs , wolf recovery coordinator for the U.S. Fish and Wildlife Service , told UPI 's Blue Planet ,""
Question: In the event ""told"", does the participant ""Bangs"" act with volition?
Answer: Yes
Sentence: ""Their chauvinisms got to the point that even they themselves hated each other .""
Question: In the event ""hated"", does the participant ""they"" act with volition?
Answer: Yes
Sentence: ""I guess if you have a schtick that is a resounding success once , you ca n't help but trot it out every time your act is going sour .""
Question: In the event ""guess"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""Debbie said , it is going to be hard on me to sale my old dodge truck .""
Question: In the event ""sale"", does the participant ""truck"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: """" All you have to do is look at the photographs, "" Ed Bangs, wolf recovery coordinator for the U.S. Fish and Wildlife Service, told UPI's Blue Planet,""
Question: In the event ""told"", does the participant ""Bangs"" act with volition?
Answer: Yes
Sentence: ""Their chauvinisms got to the point that even they themselves hated each other.""
Question: In the event ""hated"", does the participant ""they"" act with volition?
Answer: Yes
Sentence: ""I guess if you have a schtick that is a resounding success once, you can't help but trot it out every time your act is going sour.""
Question: In the event ""guess"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""Debbie said, it is going to be hard on me to sale my old dodge truck.""
Question: In the event ""sale"", does the participant ""truck"" act with volition?
Answer: 

A:

The answer is yes.
The verb ""act"" is a transitive verb. It means ""to do something"".
The verb ""to do something"" is a transitive verb. It means ""to do something"".
The verb ""to be"" is a transitive verb. It means ""to be"".
The verb ""to be"" is a transitive verb. It means ""to be"".
The verb ""to be"" is a transitive verb. It means ""to be"".
The verb ""to be"" is a transitive verb. It means ""to be"".
The verb ""to be"" is a transitive verb. It means ""to be"".
The verb ""to be"" is a transitive verb. It means """
7,gpt_neo_1.3b,volition_1_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""They provide an emotional infrastructure for atrocities .""
Question: In the event ""provide"", does the participant ""infrastructure"" act with volition?
Answer: No
Sentence: ""I ordered 1000 postcards , we normally order 5000 or more .""
Question: In the event ""order"", does the participant ""we"" act with volition?
Answer: Yes
Sentence: ""For weeks , reporters scoured Alabama in search of pilots or anyone who might have remembered seeing Mr. Bush at the time he was serving in the National Guard there .""
Question: In the event ""scoured"", does the participant ""Alabama"" act with volition?
Answer: No
Sentence: ""Imperial Hubris makes the case that lots of people in the CIA and counter-terrorism divisions elsewhere in the US government knew all about Bin Laden and the threat he posed .""
Question: In the event ""posed"", does the participant ""he"" act with volition?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""They provide an emotional infrastructure for atrocities.""
Question: In the event ""provide"", does the participant ""infrastructure"" act with volition?
Answer: No
Sentence: ""I ordered 1000 postcards, we normally order 5000 or more.""
Question: In the event ""order"", does the participant ""we"" act with volition?
Answer: Yes
Sentence: ""For weeks, reporters scoured Alabama in search of pilots or anyone who might have remembered seeing Mr. Bush at the time he was serving in the National Guard there.""
Question: In the event ""scoured"", does the participant ""Alabama"" act with volition?
Answer: No
Sentence: ""Imperial Hubris makes the case that lots of people in the CIA and counter-terrorism divisions elsewhere in the US government knew all about Bin Laden and the threat he posed.""
Question: In the event ""posed"", does the participant ""he"" act with volition?
Answer:  No
Sentence: ""The CIA has been accused of being a'shadow government' in the US.""
Question: In the event ""shadow"", does the participant ""government"" act with volition?
Answer: Yes
Sentence: ""The CIA has been accused of being a'shadow government' in the US.""
Question: In the event ""shadow"", does the participant ""government"" act with volition?
Answer: Yes
Sentence: ""The CIA has been accused of being a'shadow government' in the US.""
Question: In the event ""shadow"", does the participant ""government"" act with volition?
Answer: Yes
Sentence: ""The CIA has been accused of being a'shadow government' in the US.""
Question: In the event ""shadow"", does the participant ""government"" act with volition?
Answer: Yes"
8,gpt_neo_1.3b,volition_1_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""I have 4 Golden Wonder Killifish .""
Question: In the event ""have"", does the participant ""Killifish"" act with volition?
Answer: No
Sentence: ""Records show that on Oct. 31 , power generators and electricity traders filed letters with the Federal Energy Regulatory Commission , demanding that the new plan be killed .""
Question: In the event ""filed"", does the participant ""generators"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one .""
Question: In the event ""have"", does the participant ""concern"" act with volition?
Answer: No
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one .""
Question: In the event ""bite"", does the participant ""us"" act with volition?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""I have 4 Golden Wonder Killifish.""
Question: In the event ""have"", does the participant ""Killifish"" act with volition?
Answer: No
Sentence: ""Records show that on Oct. 31, power generators and electricity traders filed letters with the Federal Energy Regulatory Commission, demanding that the new plan be killed.""
Question: In the event ""filed"", does the participant ""generators"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""have"", does the participant ""concern"" act with volition?
Answer: No
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""bite"", does the participant ""us"" act with volition?
Answer:  No
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""bite"", does the participant ""we"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""bite"", does the participant ""we"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""bite"", does the participant ""we"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question:"
9,gpt_neo_1.3b,volition_1_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""According to some reports , Zawahiri is thought by intelligence to be somewhere near the border of Pakistan and Afghanistan .""
Question: In the event ""thought"", does the participant ""Zawahiri"" act with volition?
Answer: No
Sentence: ""Two vaunted economists - one a Nobel Prize winner and the other a nationally renowned budget expert - have analyzed the data at hand and put a price tag on the Iraq occupation .""
Question: In the event ""have"", does the participant ""economists"" act with volition?
Answer: Yes
Sentence: ""It incorporates Mr. Stojic 's and Mr. Kelly 's initial comments .""
Question: In the event ""incorporates"", does the participant ""comments"" act with volition?
Answer: No
Sentence: ""Just remember to make sure the mother is properly caring for the baby .""
Question: In the event ""caring"", does the participant ""mother"" act with volition?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""According to some reports, Zawahiri is thought by intelligence to be somewhere near the border of Pakistan and Afghanistan.""
Question: In the event ""thought"", does the participant ""Zawahiri"" act with volition?
Answer: No
Sentence: ""Two vaunted economists - one a Nobel Prize winner and the other a nationally renowned budget expert - have analyzed the data at hand and put a price tag on the Iraq occupation.""
Question: In the event ""have"", does the participant ""economists"" act with volition?
Answer: Yes
Sentence: ""It incorporates Mr. Stojic's and Mr. Kelly's initial comments.""
Question: In the event ""incorporates"", does the participant ""comments"" act with volition?
Answer: No
Sentence: ""Just remember to make sure the mother is properly caring for the baby.""
Question: In the event ""caring"", does the participant ""mother"" act with volition?
Answer:  No
Sentence: ""The report also notes that the Iraqi government has not yet made any public statements about the report.""
Question: In the event ""has"", does the participant ""government"" act with volition?
Answer: Yes
Sentence: ""The report also notes that the Iraqi government has not yet made any public statements about the report.""
Question: In the event ""has"", does the participant ""government"" act with volition?
Answer: Yes
Sentence: ""The report also notes that the Iraqi government has not yet made any public statements about the report.""
Question: In the event ""has"", does the participant ""government"" act with volition?
Answer: Yes
Sentence: ""The report also notes that the Iraqi government has not yet made any public statements about the report.""
Question: In the event"
