,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,jurassic-jumbo,object-control-passive,Avery,Casey,False,told,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to come.

Question: Who was told to come?
Answer: Avery
Question: Who told someone to come?
Answer: Casey
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who was told to come?\nAnswer: Avery\nQuestion: Who told someone to come?\nAnswer: Casey\nQuestion: Who came?\nAnswer: ', '(A')",0.0
1,jurassic-jumbo,object-control-passive,Avery,Casey,False,told,to go,Casey,other,"You will be given a context and a question.
Context: Avery was told by Casey to go.

Question: Who was told to go?
Answer: Avery
Question: Who told someone to go?
Answer: Casey
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who was told to go?\nAnswer: Avery\nQuestion: Who told someone to go?\nAnswer: Casey\nQuestion: Who went?\nAnswer: ', '?\n')",1.0
2,jurassic-jumbo,object-control-passive,Avery,Casey,False,told,to read,Casey,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to read.

Question: Who was told to read?
Answer: Avery
Question: Who told someone to read?
Answer: Casey
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who was told to read?\nAnswer: Avery\nQuestion: Who told someone to read?\nAnswer: Casey\nQuestion: Who read?\nAnswer: ', '(A')",2.0
3,jurassic-jumbo,object-control-passive,Avery,Casey,False,told,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to run.

Question: Who was told to run?
Answer: Avery
Question: Who told someone to run?
Answer: Casey
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who was told to run?\nAnswer: Avery\nQuestion: Who told someone to run?\nAnswer: Casey\nQuestion: Who ran?\nAnswer: ', '(A')",3.0
4,jurassic-jumbo,object-control-passive,Avery,Casey,False,told,to call,Casey,other,"You will be given a context and a question.
Context: Avery was told by Casey to call.

Question: Who told someone to call?
Answer: Casey
Question: Who was told to call?
Answer: Avery
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who told someone to call?\nAnswer: Casey\nQuestion: Who was told to call?\nAnswer: Avery\nQuestion: Who called?\nAnswer: ', '?\n')",4.0
5,jurassic-jumbo,object-control-passive,Avery,Casey,False,ordered,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to come.

Question: Who ordered someone to come?
Answer: Casey
Question: Who was ordered to come?
Answer: Avery
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to come.\n\nQuestion: Who ordered someone to come?\nAnswer: Casey\nQuestion: Who was ordered to come?\nAnswer: Avery\nQuestion: Who came?\nAnswer: ', '(A')",5.0
6,jurassic-jumbo,object-control-passive,Avery,Casey,False,ordered,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to go.

Question: Who ordered someone to go?
Answer: Casey
Question: Who was ordered to go?
Answer: Avery
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to go.\n\nQuestion: Who ordered someone to go?\nAnswer: Casey\nQuestion: Who was ordered to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: ', '(A')",6.0
7,jurassic-jumbo,object-control-passive,Avery,Casey,False,ordered,to read,Casey,other,"You will be given a context and a question.
Context: Avery was ordered by Casey to read.

Question: Who was ordered to read?
Answer: Avery
Question: Who ordered someone to read?
Answer: Casey
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to read.\n\nQuestion: Who was ordered to read?\nAnswer: Avery\nQuestion: Who ordered someone to read?\nAnswer: Casey\nQuestion: Who read?\nAnswer: ', '____')",7.0
8,jurassic-jumbo,object-control-passive,Avery,Casey,False,ordered,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to run.

Question: Who was ordered to run?
Answer: Avery
Question: Who ordered someone to run?
Answer: Casey
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to run.\n\nQuestion: Who was ordered to run?\nAnswer: Avery\nQuestion: Who ordered someone to run?\nAnswer: Casey\nQuestion: Who ran?\nAnswer: ', '(A')",8.0
9,jurassic-jumbo,object-control-passive,Avery,Casey,False,ordered,to call,Casey,other,"You will be given a context and a question.
Context: Avery was ordered by Casey to call.

Question: Who was ordered to call?
Answer: Avery
Question: Who ordered someone to call?
Answer: Casey
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to call.\n\nQuestion: Who was ordered to call?\nAnswer: Avery\nQuestion: Who ordered someone to call?\nAnswer: Casey\nQuestion: Who called?\nAnswer: ', '____')",9.0
